Name,Credentials
Bridgit Lacy-Wolak,"Clinical Social Work/Therapist, LCSW-C"
Bridgitte Renae Hammaker,"Clinical Social Work/Therapist, LCSW-C"
Brie Sutton,"Counselor, MS , LCPC"
Briena Wyckstandt,"Clinical Social Work/Therapist, LCSW"
Brigetta Weatherington,N/A
Bright Counseling,"Clinical Social Work/Therapist, LCSW"
Bright Future Community Health Care Services,"Licensed Clinical Professional Counselor, LCPC, CAC-AD, ACS"
Bright Horizons Behavioral Health,"Clinical Social Work/Therapist, LCSW"
"Bright Life Therapy, LLC","Clinical Social Work/Therapist, LCSW-C"
Bright Minds Therapy,"Counselor, MA, LCPC, CAC-AD"
Brighton K Laznovsky,"Clinical Social Work/Therapist, MA, CHT, LCADC, LCSW-C"
Brightside Health,"Clinical Social Work/Therapist, LCSW"
Britney Lamp,"Licensed Professional Counselor, LCPC"
Britt Bailey,"Clinical Social Work/Therapist, LCSW-C"
Britt H Rathbone,"Clinical Social Work/Therapist, LCSW-C, BCD, CGP"
Britt Lindon,"Psychologist, PhD"
Britt Lindon,"Psychologist, PhD, Anxiety, Couples, Trauma"
Britt M Lindon,"Psychologist, PhD"
Brittaney Wood,"Licensed Professional Counselor, LPCC, LGPC"
Brittaney Wood,"Counselor, LGPC, LPCC"
Brittany Cephas,"Licensed Clinical Professional Counselor, MEd, LCPC, NCC, PhD, Student"
Brittany DeLoatch,"Licensed Clinical Professional Counselor, MA, LCPC, NCC"
Brittany Fletcher,"Licensed Professional Counselor, LPC"
Brittany Goff,"Clinical Social Work/Therapist, MSW, LCSW-C"
Brittany Hudspeth,"Licensed Professional Counselor, LPC, NCC, CCTP"
Brittany Jakubik,"Clinical Social Work/Therapist, LCSW-C"
Brittany Janer,"Counselor, MA, NCC, LCPC"
Brittany Johnson,"Licensed Clinical Professional Counselor, LCPC, MS, NCC"
Brittany Kuhn,"Counselor, LCPC, NCC"
Brittany LaFleur,"Counselor, MS, LCPC-S, RPT"
Brittany Mills,"Clinical Social Work/Therapist, LCSW-C"
Brittany Moffitt,"Clinical Social Work/Therapist, LCSW-C, LICSW, MSW"
Brittany Simpson,"Clinical Social Work/Therapist, LMSW"
Brittany Spencer,"Counselor, LCPC"
Brittany Spoor,"Licensed Clinical Professional Counselor, LCPC, NCC"
Brittany Trexler,"Licensed Clinical Professional Counselor, LCPC, LPC"
Brittany Walker,"Counselor, LCPC"
Brittany Wilson,"Licensed Professional Counselor, LPCMH, PMH-C, NCC, LCPC"
Brittany Wong,"Clinical Social Work/Therapist, LMSW"
"Brittney Hack, LCPC, LLC","Counselor, MS, LCPC, NCC"
Brittney Mazie,"Counselor, MS, LGPC"
Brittney Moals,"Clinical Social Work/Therapist, LMSW, MSW"
Brittney Renise Robinson,"Licensed Clinical Professional Counselor, LGPC"
Bronte N. Vaughn,"Licensed Clinical Professional Counselor, MA, LCPC, NCC"
Brook A. Fulton-DeLong,"Licensed Professional Counselor, MS, LCPC, NCC, CCMHC"
Brooke A Stipelman,"Psychologist, PhD"
Brooke Bralove Psychotherapy,"Clinical Social Work/Therapist, LCSW-C, LCSW, LICSW"
Brooke Dostillio,Pre-Licensed Professional
Brooke Golub,"Clinical Social Work/Therapist, LMSW"
Brooke Leonard,"Licensed Clinical Professional Counselor, LCPC"
Brooke Richman,"Counselor, MA, LGPC"
Brooke Shafer,"Counselor, MA, LPC, LCPC"
Brooks Stroman,Pre-Licensed Professional
"Bruce Ferguson, LCPC","Counselor, LCPC, LCADC, LMFT"
Bruce J Herman,"Psychologist, PhD"
Bruce Kirby,"Clinical Social Work/Therapist, LCSW-C"
Bruce Steven Pomerantz,"Psychologist, PsyD"
Bryan Patrick,"Pre-Licensed Professional, MA, LGPC, NCC"
Burnett CBT,"Psychologist, PsyD"
Burnus DuVale McKnight,"Clinical Social Work/Therapist, LMSW"
Bushra Queraishi,"Clinical Social Work/Therapist, LMSW"
By The Bay Counseling Solutions,"Clinical Social Work/Therapist, MSW, LCSW-C"
C & A Behavioral Healthcare Services,"Counselor, PsyD, DH, LCPC, LPC"
C. Andrew Conway,"Clinical Social Work/Therapist, MSW, LCSW-C"
C. Lynnette Baxter,"NBC-HWC, BSN"
C. Scott Dehorty,"Clinical Social Work/Therapist, LCSW-C"
C.A.R.E. Counseling LLC,"Counselor, LGPC"
C'aira Neal,"Counselor, MA, LGPC, NCC"
Caitlin Coop,"Counselor, LCPCS, NCC"
Caitlin Coop,Licensed Clinical Professional Counselor
Caitlin Cordial,"Counselor, LCPC"
Caitlin Farha,"Clinical Social Work/Therapist, LCSW-C"
Caitlin Hill,MA
Caitlin Madden,"Clinical Social Work/Therapist, LCSW-C"
Caitlin Magidson,"Licensed Clinical Professional Counselor, MS, NCC, LCPC"
Caitlin McGuire,"Clinical Social Work/Therapist, LCSWC"
Caitlin Rhodes,"Licensed Clinical Professional Counselor, MA, LCPC"
Caitlin Weese,"Clinical Social Work/Therapist, MA, LCSW-C, RYT, CCTP"
Caitlyn Mackall,"Clinical Social Work/Therapist, LMSW"
Caitlyn Mejia-Nwogu,"Licensed Professional Counselor, LCPC"
Caiwei Tang,"Counselor, LGPC"
"Cale Wright, PsyD LLC","Psychologist, PsyD"
Caleb Hawley-Brillante,"Clinical Social Work/Therapist, LCSW-C"
Caley Bennett-Sindy,"Clinical Social Work/Therapist, LMSW"
Callas Vaughan Dixon,"Counselor, MPA, MA, LCPC"
"Calm Walk Oasis, LLC","MBA, BSW, CAMS-I, CDVS-I"
Calvin Rabago,"Clinical Social Work/Therapist, LCSW"
Calvin Ryan,"Clinical Social Work/Therapist, LMSW"
Cam Davis,"Counselor, LGPC"
Cam Whelley,"Pre-Licensed Professional, LMSW, Intern"
Cameron Jackson,"Clinical Social Work/Therapist, LCSW-C"
Cameron Keetley,"Clinical Social Work/Therapist, LMSW"
Camilla Dorment,"Clinical Social Work/Therapist, LICSW"
Camille M White,"Licensed Professional Counselor, MA, LPC, NCC"
Camina Hirota-Lee,"Marriage & Family Therapist, MA, LGMFT"
Candace Crew,"Clinical Social Work/Therapist, MSW, LCSW-C"
Candace Jones,"Clinical Social Work/Therapist, LCSW-C, CCTP"
Candace Pearson,"Counselor, LCPC"
Candice Arbesman,"Clinical Social Work/Therapist, MSW, LCSW-C"
Candice Hendrix,"LMSW, CTRP-C"
Candice Kordish,"Counselor, LGPC"
Candice Mitchell,"Counselor, MS, LGPC, NCC, EdD"
Candice N Aston,"Psychologist, PhD, NCSP"
Candice Peggs,"Clinical Social Work/Therapist, LICSW, LCSW-C"
Candice Richardson Dickens,"Counselor, LCPC-S, LCADC, NCC, MA, CCTP"
Candice Tyson,"Counselor, LGPC"
Candita Hinds,"Licensed Clinical Professional Counselor, LCPC"
Candy Merrill,"Clinical Social Work/Therapist, LCSW"
Capable Family Coaching,"Psychologist, MS"
Capital Institute for Cognitive Behavioral Therapy,"Psychologist, PsyD"
Capitol Hill Counseling and Resource Center,"Pastoral Counselor, DMin, MDiv"
Cara Alexander,"Clinical Social Work/Therapist, PhD, LCSW-C, BCD"
Cara Baltimore,"Clinical Social Work/Therapist, LCSW-C, MSW"
Cara Baltimore Lcsw-C,"Clinical Social Work/Therapist, MSW, LCSW"
Cara Cole,"Clinical Social Work/Therapist, LCSW-C, LCSW"
Cara Depp Dehghan,"Psychologist, PsyD"
Cara Donnelly-Justus,"Clinical Social Work/Therapist, LCSWC, LCSW"
Cara Ebling,"Clinical Social Work/Therapist, LCSW-C, MSW"
Cara Jacobson,"Psychologist, PsyD"
Cara Miller,"Psychologist, PhD, SEP"
Cara Tintle Andela,"Licensed Clinical Professional Counselor, LCPC, NCC, CCMHC"
Cara West,"Licensed Clinical Professional Counselor, LCPC"
Career Awakenings,"Licensed Clinical Professional Counselor, NCC, CRC, LCPC"
Carey Cooper,"Licensed Professional Counselor, MS, LCPC, NCC"
Carey Heller,"Psychologist, PsyD"
Carie Woods,LMSW
Carilyn Rego,"Clinical Social Work/Therapist, LCSW"
Carin Sailer,"Counselor, LGPC"
Carissa L Strohecker Hannum,"Counselor, MA, LCPC, LPC, CCTP"
Carita Carlyle,"Counselor, LPCMH"
Carl A. Carlton,"Pre-Licensed Professional, LGPC"
Carl D Siegel,"Psychologist, MDiv, PhD"
Carl Fornoff,"Licensed Clinical Professional Counselor, LCPC, MS, CAS"
"Carl Mojta, LMFT, LLC","Marriage & Family Therapist, CAC-I, CST-S, IFS"
Carla Carick,"Clinical Social Work/Therapist, LCSW, LCSW-C"
Carla Carreira,"MA, MS, SEP"
Carla Corsey,"Psychologist, PsyD"
Carla Earl Trump,"Clinical Social Work/Therapist, LCSW-C"
Carla Harrison,"Counselor, LCPC, NCC"
Carla Lester,"Clinical Social Work/Therapist, LCSW"
Carla Nolan,"Clinical Social Work/Therapist, LCSW-C"
Carla Wisner,"Licensed Clinical Professional Counselor, LCPC-S"
Carlee Myers,"Licensed Professional Counselor, LPC"
Carley Foster,"Counselor, LCPC"
Carlisle Greaves,Clinical Social Work/Therapist
Carlos Durana Ph.D.,"Psychologist, PhD, LPC"
Carlos Durana Ph.D.,"Licensed Professional Counselor, PhD, LPC"
Carlton E. Green,"Psychologist, PhD"
Carly Blackstone,"Psychologist, PsyD"
Carly Burton,"Clinical Social Work/Therapist, LCSW-C"
Carly Compton,"Counselor, LCPC"
Carly Hunt,"Psychologist, PhD"
Carly Lebherz,"Clinical Social Work/Therapist, LCSW-C, LICSW"
Carly Lebherz,"Clinical Social Work/Therapist, LCSW-C, LICSW, CTRP-C"
Carly Moody,"Marriage & Family Therapist, MS, LMFT"
Carly Rohde,"Psychologist, Psy, D"
Carly Whitlock,"Licensed Professional Counselor, MS, LPC"
Carman M. Klassen,"Licensed Clinical Professional Counselor, LCPC, LCADC, CCDP, CHT"
Carmela Katz,"Clinical Social Work/Therapist, LCSW-C"
Carmen Getty,"Counselor, LCPC"
Carmen Miles Davis,"Clinical Social Work/Therapist, LCSW-C"
Carmen Pendleton,"Licensed Clinical Professional Counselor, LCPC"
Carmetta Maupin,"Counselor, EdD, LGPC"
Carol A McKissick,"Counselor, MBA, MS, LCPC, NCC"
Carol A. Levine,"Licensed Clinical Professional Counselor, LCPC, LLC"
Carol Barnaby,"Clinical Social Work/Therapist, MSW, LCSW-C"
"Carol Binta Nadeem LCPC, CCTP, ACS","Counselor, LCPC, CCTP, ACS"
Carol Garey,"Clinical Social Work/Therapist, LCSW-C"
Carol H Corcoran,"Marriage & Family Therapist, LCMFT, LMFT"
Carol Jones-Pinckney,"Counselor, LCPC"
Carol Mettus LLC,"Clinical Social Work/Therapist, MSW, LCSW-C"
Carol Van Doorn,"Clinical Social Work/Therapist, LCSW-C"
Carola Jobe,"Psychologist, PsyD"
Carole Groux,Licensed Clinical Professional Counselor
Carole M. Barksdale,"Licensed Clinical Professional Counselor, PhD, LCPC"
Carole Miller,"Clinical Social Work/Therapist, MSW, LCSW, LCSW-C"
Carole Palmer,"Clinical Social Work/Therapist, LICSW"
Carole Stovall,"Psychologist, PhD"
Carolina Carbajal,"Licensed Clinical Professional Counselor, LPC"
Caroline Artley,"Clinical Social Work/Therapist, LCSW-C"
Caroline Batchelor Moore,"Psychologist, PsyD, MS, BBA"
Caroline Bos,"Counselor, LCPC"
Caroline Carey,"Licensed Clinical Professional Counselor, MS, LCPC"
Caroline Cinquino Miller,"Counselor, MEd, LCPC"
Caroline Ducoin,"Psychologist, PsyD"
Caroline Erickson,"Clinical Social Work/Therapist, LMSW"
Caroline Fowler,"Clinical Social Work/Therapist, LCSW-C"
Caroline Freedenberg,"Clinical Social Work/Therapist, LICSW, LCSW"
Caroline Friedman,"Counselor, LGPC, NCC, MA"
Caroline Gomes,"Clinical Social Work/Therapist, LCSW-C"
Caroline H Sparks,"Psychologist, PhD, MA"
Caroline Hicks,"Psychologist, PhD"
Caroline Hippler,"Counselor, LCPC, NCC"
Caroline Hughes,Pre-Licensed Professional
Caroline Iciek,"Clinical Social Work/Therapist, LCSW-C"
Caroline Kinna,"Clinical Social Work/Therapist, LCSW-C"
Caroline Long,"Psychologist, PsyD"
Caroline Masucci,"Clinical Social Work/Therapist, LCSW-C"
Caroline McKenna,"Clinical Social Work/Therapist, LICSW"
Caroline Micaela Patey,"Clinical Social Work/Therapist, LMSW"
Caroline Poirrier,"Clinical Social Work/Therapist, MSW, LMSW, LGSW"
Carolyn (Carrie) J Hansen,"Clinical Social Work/Therapist, MA, MSW, LCSW-C"
Carolyn Ann Hunsicker,"Licensed Professional Counselor, MS, LCPC, NCC"
Carolyn Button Parker,"Clinical Social Work/Therapist, LCSW-C"
Carolyn Curcio,"Clinical Social Work/Therapist, LICSW"
Carolyn Gonterman,"Licensed Professional Counselor, LCPC, NCC"
Carolyn Hoffmann,"Clinical Social Work/Therapist, LICSW, LCSW-C"
Carolyn I Wood,"Clinical Social Work/Therapist, LCSW-C"
Carolyn J Potts,"Clinical Social Work/Therapist, LCSW-C"
Carolyn Lorente,"Counselor, PhD, LGPC"
Carolyn M. Karoll,"Clinical Social Work/Therapist, MSW, LCSW-C, CEDS-C"
Carolyn McElroy,"Clinical Social Work/Therapist, LCSW-C"
Carolyn O'Dell,"Clinical Social Work/Therapist, LCSW-C"
Carolyn S Shaffer,"Psychologist, PhD"
"Carolyn Simms, LCPC  Approved Clinical Supervisor","Licensed Professional Counselor, MA, LCPC, PMH"
Caron Starobin,"Clinical Social Work/Therapist, LCSW-C"
Carr Cares Therapeutic Services,"Licensed Clinical Professional Counselor, MS, NCC, LCPC"
Carrie Boone,"Clinical Social Work/Therapist, LCSW-C"
Carrie Byrne,"Clinical Social Work/Therapist, LCSW-C"
Carrie C Mead,"Counselor, MS, LCPC"
Carrie Campbell,"Clinical Social Work/Therapist, LCSW-C"
Carrie Cornwell,"Counselor, LCPC"
Carrie Freshour,"Clinical Social Work/Therapist, LCSW-C"
Carrie Holland-Lee,"Licensed Clinical Professional Counselor, LCPC"
Carrie Jessen,"Clinical Social Work/Therapist, LCSW-C"
Carrie Nicholes,"Clinical Social Work/Therapist, LCSW-C"
Carrie Schurtz,"Clinical Social Work/Therapist, LCSW-C"
Carrie Stofanak,"Counselor, MA, LCPC, LPCMH, ICAADC"
Carrie Tiller,"Clinical Social Work/Therapist, LICSW"
Carroll Canipe,"Clinical Social Work/Therapist, LCSW-C"
Carroll Counseling Centers (Severna Park & Towson),"Licensed Clinical Professional Counselor, LCPC"
Carroll Counseling Ctrs - Mt. Airy And Eldersburg,"Licensed Clinical Professional Counselor, LCPC"
Carroll Martin,"Clinical Social Work/Therapist, LCSW, LICSW, LCSW-C"
"Carter Caring Counseling, LLC","Licensed Clinical Professional Counselor, MA, NCC, LCPC"
"Carter Comprehensive Services, LLC","Licensed Clinical Professional Counselor, PhD, LCPC-S"
Caryn Harris Bohac,"Licensed Clinical Professional Counselor, LCPC, NCC"
Caryn Malkus,"Marriage & Family Therapist, MA, LCMFT"
Casandra Elaine Theriault,"Clinical Social Work/Therapist, LCSW-C"
Casey Bennett,"Counselor, MS, LCPC"
Casey DeBolt,"Clinical Social Work/Therapist, LCSW-C"
Casey Frederick,"Art Therapist, LCPC"
Casey Gunther,"Clinical Social Work/Therapist, LCSW-C"
Casey O'Sullivan,"Counselor, LCPC"
Casey Propheter,"Licensed Clinical Professional Counselor, LCPC"
Casey R. Dubac,"Counselor, MS, LCPC, EMDR"
Casey Santora,"Clinical Social Work/Therapist, LSW, LMSW, SSW"
Cashmere O’Neal,Clinical Social Work/Therapist
Casi Leisure,"Counselor, LGPC, M Ed"
Cassandra Chaney,Clinical Social Work/Therapist
Cassandra Edwards,"Licensed Clinical Professional Counselor, LCPC"
Cassandra Holliday,"Drug & Alcohol Counselor, MPA, MEd, RC, ADT"
Cassi Pinder,"Licensed Clinical Professional Counselor, LCPC"
Cassidy Belz Counseling,"Counselor, MA, LGPC"
Cassidy Kehn,"Clinical Social Work/Therapist, LCSW-C"
Caste Energy Solutions with Davis Smith,"MA, Coach"
Cat Graves,"Clinical Social Work/Therapist, LCSW-C"
Catherine Benton McCallum,"Clinical Social Work/Therapist, LCSW-C, LICSW"
Catherine Bernard,"Psychologist, PhD"
Catherine Decourt Nugent,"Licensed Clinical Professional Counselor, LCPC, TEP"
Catherine Deshetler,"Clinical Social Work/Therapist, LCSW-C"
Catherine Drennan,"Clinical Social Work/Therapist, LCSW-C"
Catherine E Smith-Heine,"Counselor, MEd, LCPC, NCC"
Catherine Eaton,"Counselor, LCPC, GCDF, NCC"
Catherine Frias,"Clinical Social Work/Therapist, LCSW-C"
Catherine Gragasin,"Clinical Social Work/Therapist, LCSW-C"
Catherine Grothus,"Licensed Professional Counselor, LPC, CST, CAC-I"
Catherine Kioi,"Counselor, MS, LCPC"
Catherine Ladson,"Licensed Professional Counselor, LCMHCS, LPCS, LCPC"
Catherine Lowry,"Clinical Social Work/Therapist, LCSW-C"
Catherine Mary Beers,"Clinical Social Work/Therapist, LCSW-C"
Catherine Matuszko,"Counselor, LCPC"
Catherine McCubbin,"Counselor, LCPC"
Catherine Proa,"Clinical Social Work/Therapist, LCSW"
Catherine Riskie,"Clinical Social Work/Therapist, LCSW-C, MSW"
Catherine S Cripps,"Licensed Clinical Professional Counselor, LCPC, ATR-BC"
Catherine Stieg,"Clinical Social Work/Therapist, LCSW-C"
Cathi Medina,"Clinical Social Work/Therapist, LCSW-C"
Cathleen Horan,"Clinical Social Work/Therapist, LCSW-C, LICSW"
Cathleen Lynch,"Clinical Social Work/Therapist, LMSW"
Cathryne Lynn Maciolek,"Psychologist, PsyD"
Cathy Brookman,"Psychologist, PhD"
Cathy Caldwell - For Teens Or Tweens,"Counselor, LCPC, ATR"
Cathy Eisenhower,"Licensed Professional Counselor, LPC"
Cathy Roberts,"Licensed Clinical Professional Counselor, MS, LCPC"
Cathy Webster,"Psychologist, PsyD"
Catie Ehrler,"Licensed Professional Counselor, MA, LPC, LCPC"
Catrin Griffiths,"Licensed Professional Counselor, LCPC"
Cecelia Crowe,"Clinical Social Work/Therapist, LMSW"
Cecelia Rubertone,Licensed Clinical Professional Counselor
Cecelia van Rooyen,"Clinical Social Work/Therapist, LCSW-C, LICSW, LCSW, CST"
Cecilia (Si Si) Han,"Psychologist, PhD, ABPP-CN"
Cecilia Bañales Racine,"Clinical Social Work/Therapist, LCSW, LICSW, LCSW-C"
Cecilia C McKay,"Clinical Social Work/Therapist, MSW"
Cecilia J Brickerd,"Clinical Social Work/Therapist, LCSW-C, CTP"
Cedric Rashaw,Licensed Professional Counselor
Cedric Rashaw,"Licensed Clinical Professional Counselor, LCPC"
Celestial Hope Rising Services,"Clinical Social Work/Therapist, LCSW-C, LPC, LICSW, LCSW"
Cely A Faria (Falo Portugues),"Counselor, MS, LCPC, NCC"
Cendrine Robinson,"Psychologist, PhD, MPH"
"Center for Behavioral Health and Wellness, LLC","Psychologist, PhD"
Center for Child and Family Traumatic Stress,Clinical Social Work/Therapist
Center for Resilience and Connection,"LCSW-C, LCPC, RPT-S"
Centers for Cognitive Wellness,"Psychologist, PhD"
Central Washington Psychotherapy Associates,"Clinical Social Work/Therapist, LICSW, DCSW"
Cessar Scott,MD
Ceyonna Lewis,"Licensed Professional Counselor, MA, LPC, LCPC"
"CGE Counseling,","Counselor, NCC, LCPC, BC-TMH, TF-CBT"
Chaka Starkes,"Licensed Clinical Professional Counselor, MA, LCPC"
Chalon Melton Thompson,"Counselor, MHS, LGPC, NCC"
Chamika Block,"Counselor, LCPC"
Champ Moultrie,"Counselor, LCPC"
Chana Bruckenstein,"Licensed Clinical Professional Counselor, MS, LCPC"
Chana Johnson,"Counselor, LCPC, PMH-C"
Chana Lockerman,"Clinical Social Work/Therapist, MSW, LICSW, LCSW-C"
Chana Simmonds,"Clinical Social Work/Therapist, MSW, LCSW"
Chanda R Reynolds,"Psychologist, PsyD, MS, MA"
Chandni Shah,"Psychologist, PhD"
Chandra Davis | Mind Body Art Therapy,"Licensed Clinical Professional Counselor, ATR-BC, LCPC-S, LPC, LCPAT, ATCS"
Chandra Niklewski,"Licensed Clinical Professional Counselor, LCPC"
Chanel Nance,"Counselor, MS, LGPC"
Changing Destiny Counseling,"Licensed Clinical Professional Counselor, LCPC"
Changing Perspectives,"Licensed Clinical Professional Counselor, LCPC"
Changing Tides Counseling & Behavioral Health LLC,"Clinical Social Work/Therapist, LCSW-C, LICSW, LCSW"
Channeling Your Strength LLC,"Counselor, LCPC"
Channing Clark,"Licensed Clinical Professional Counselor, MA, LCPC, NCC"
Chantell Prestcott-Hollander,"Licensed Clinical Professional Counselor, MEd, LCPC, NCC"
Chantelle Hodge,"Counselor, LGPC"
Charelle Lloyd,"Clinical Social Work/Therapist, LCSW-C"
Charice Williams,"Licensed Professional Counselor, LPC"
Charity I White,"Counselor, LPC, LGPC"
Charlanne Wolff,"Counselor, MA, LCPC"
Charles Larry Hunter II,"Counselor, LGPC"
Charles M Citrenbaum,"Psychologist, PhD"
Charlie Billingsley,"Counselor, LCPC, MS, MEd"
Charlotte Boston,"Art Therapist, MA, ATR-BC, LCPAT"
Charlotte Byrd,"Clinical Social Work/Therapist, LCSW-C"
Charlotte Chason,"Clinical Social Work/Therapist, MSW, LMSW"
Charlotte Jeanne,"Counselor, LGPC"
Charm City Counseling,"Licensed Clinical Professional Counselor, LCPC"
Chase Brexton Health Care,"Clinical Social Work/Therapist, LCSW-C"
Chase Butala,"Licensed Professional Counselor, MS, LPC, LCPC, CRC"
Chavi Grayman,"Clinical Social Work/Therapist, LCSW-C"
Chaya Gurevitch,"Clinical Social Work/Therapist, LMSW"
Chaya Lencz,"Clinical Social Work/Therapist, LMSW"
Chea Weltchek,"Counselor, LCPC, PMH-C"
Chelsea Burrows,Clinical Social Work/Therapist
Chelsea Cowden,"Counselor, LGPC"
Chelsea Fox,Clinical Social Work/Therapist
Chelsea Fry,"Clinical Social Work/Therapist, LCSW-C"
Chelsea Gleason,"Clinical Social Work/Therapist, LCSW-C"
Chelsea Goody,"Counselor, BS, MS, LCPC"
Chelsea Hayas-Keller - Perinatal & Trauma Therapy,"Clinical Social Work/Therapist, LCSW-C, PMH-C, RYT-200"
Chelsea Horrocks Jennings,"Clinical Social Work/Therapist, LCSW-C"
Chelsea Lewis-Wilkins,Licensed Clinical Professional Counselor
Chelsea M Haverly,"Clinical Social Work/Therapist, LCSW-C"
Chelsea Moreau,"Counselor, LCPC, NCC"
Chelsea Slacum,"Clinical Social Work/Therapist, LCSW-C, EMDR"
Chelsea Tadesse,"Licensed Clinical Professional Counselor, LCPC"
Chelsea Tadesse,"Counselor, LCPC"
Chelsey Barrios Foster,"Psychologist, PhD"
Cheri Williams,"Drug & Alcohol Counselor, LCADC"
Cherish Life with Dignity,"Licensed Clinical Professional Counselor, LCPC-S, LPC, ADHD-CS"
Chernavia Miller-Hollingsworth,"Counselor, LCPC, NCC"
Cheryl Anne Bruns,"Clinical Social Work/Therapist, LCSW-C"
Cheryl Cannon,"Clinical Social Work/Therapist, LCSW-C"
Cheryl Caplan-Zalis,"Clinical Social Work/Therapist, LCSW-C, LCADC"
Cheryl D Taylor,"Clinical Social Work/Therapist, MSW, LCSW-C, MPA, CDWF"
Cheryl Facemire,"Clinical Social Work/Therapist, LCSW-C"
"Cheryl Holland, Ph.D. & Associates, LLC","Psychologist, PhD"
Cheryl Hughes,"Clinical Social Work/Therapist, LICSW, LCSW"
Cheryl Lynn Bryant,"Clinical Social Work/Therapist, LCSW-C, CAMC, LCAD-S"
Cheryl M Fischer,"Clinical Social Work/Therapist, LCSW-C"
Cheryl Rothenberg,"Clinical Social Work/Therapist, LCSW-C"
"Cheryl S. Rubenstein, PhD Psychologist","Psychologist, PhD"
Cheryl Torpey,Clinical Social Work/Therapist
Cheryl Torpey,"Clinical Social Work/Therapist, LCSW-C"
Cheryl Y Fisher,"Licensed Clinical Professional Counselor, PhD, NCC, LCPC"
Chesapeake Bay Psychological Services LLC,N/A
"Chesapeake Behavioral Health, Clinical Director","Clinical Social Work/Therapist, LCSW-C"
Chesapeake Counseling Associates,"Clinical Social Work/Therapist, LCSW-C"
Chesapeake Mental Health Collaborative,"Counselor, PhD, LCPC, NCC"
Chesapeake Neuro-Behavioral Health LLC,"Psychologist, PhD"
"Chesapeake Reflections, LLC","Clinical Social Work/Therapist, LCSW-C"
Chesapeake South Therapeutic Group LLC,"Counselor, LCPC, NCC"
Chessa Van Andel,Licensed Professional Counselor
Chester Mccoy,"Clinical Social Work/Therapist, MSW, LCSW-C"
Chetana Bhat,"Licensed Clinical Professional Counselor, LCPC"
Chevon Mathews-Green,"Licensed Professional Counselor, MA, LCPC, LPC, NCC, BC-TMH"
Cheyenne Barton,"Licensed Clinical Professional Counselor, LCPC"
Chia-May C Dougherty,"Counselor, PhD, LCPC, LPC, NCC, BC-TMH"
Chiara Abbatelli,"Psychological Associate, PsyD"
Chidiomimi Chime,"Licensed Clinical Professional Counselor, LCPC"
Chika Igwe,"Clinical Social Work/Therapist, LCSW-C, LICSW"
Child Haven Counseling,Clinical Social Work/Therapist
"Children at Play, LLC","Occupational Therapist, MS, OTRL"
Children's Therapy Corner,"Psychologist, PhD"
Chima Dimgba,"Counselor, LGPC, NCC"
Chinita M Colbert,"Counselor, LGPC, NCC"
Chinwendu (Chewy) Utom,"Clinical Social Work/Therapist, LICSW"
Chinyelu Muonagolu,"Counselor, LCPC, NCC"
Chivonne Gabriel,Clinical Social Work/Therapist
Chivonne Gabriel,"Clinical Social Work/Therapist, LCSW-C"
Choices International,"Licensed Clinical Professional Counselor, LCPC, CAC-AD, LPC, NCC, MAC"
Chosen Family Counseling,"Licensed Clinical Professional Counselor, MS, LCPC"
Chris Burgenson,"Counselor, MS, LGPC"
Chris Erb,"Marriage & Family Therapist, LCMFT"
Chris Farley,"Counselor, MS, LCPC"
Chris Hall,"Counselor, LCPC"
Chris Haugen,"Clinical Social Work/Therapist, LCSW-C, EdM"
Chris Jones,"Clinical Social Work/Therapist, MSW, LCSW-C, LISW-CP"
Chris Kraft,"Psychologist, PhD"
Chris Lee,"Licensed Clinical Professional Counselor, MA, NCC, LCPC"
Chris Soves,"Clinical Social Work/Therapist, LCSW-C"
Chris Vara,"Clinical Social Work/Therapist, LICSW, LCSW-C, MDiv"
Chrislin,"Clinical Social Work/Therapist, LMSW"
Chrislin Therapy Services,"Clinical Social Work/Therapist, LCSW-C, LICSW"
Chrissy Wallace,"Clinical Social Work/Therapist, LCSW-C, LICSW, LCSW"
Christ & Counseling Services,"Clinical Social Work/Therapist, LICSW, LCSW"
"Christ First Counseling, LLC","Counselor, MA, LCPC"
Christa Carlton,"Clinical Social Work/Therapist, LCSW, LCSW-C, LICSW, RYT"
Christa K Schmidt,"Psychologist, PhD"
Christa Marvenko-Athas,"Clinical Social Work/Therapist, LCSW-C"
Christa Sonnier,"Licensed Master Social Worker, LMSW, PMH-C"
Christa Welch Bellanca,"Clinical Social Work/Therapist, LCSW-C"
Christen Pyle,"Licensed Professional Counselor, MS, LPC, CRC"
Christie Chorbajian,"Marriage & Family Therapist, LCMFT, DBT-C"
Christie L. Polley,"Licensed Clinical Professional Counselor, MS, LCPC"
Christie M Platt,"Psychologist, PhD"
Christina Benboudiaf,"Licensed Clinical Professional Counselor, LMHC, LCPC"
Christina Chacko,"Clinical Social Work/Therapist, LCSW-C"
Christina Daly,"Clinical Social Work/Therapist, MSW, LCSW-C"
Christina deGraft-Johnson,"Counselor, LCPC"
Christina Fals,"Clinical Social Work/Therapist, LICSW, LCSW"
Christina Fraser,"Clinical Social Work/Therapist, LICSW, LCSWC"
Christina Insalaco,"Counselor, PhD, LPCC, LMHC, LCPC"
Christina Josephs,"Pre-Licensed Professional, MSW"
Christina Keen,"Clinical Social Work/Therapist, LCSW-C"
Christina Law,"Clinical Social Work/Therapist, LCSW-C, BCST, TCT"
